file_name,place_name,file_2_name,prefecture,map_warper_url,stanford_url
418.tif,名護,yf761pm1174,47,https://mapwarper.h-gis.jp/maps/418,http://purl.stanford.edu/yf761pm1174
419.tif,中尾次,nh074mg3020,47,https://mapwarper.h-gis.jp/maps/419,http://purl.stanford.edu/nh074mg3020
420.tif,新川,gy024nh9204,47,https://mapwarper.h-gis.jp/maps/420,http://purl.stanford.edu/gy024nh9204
421.tif,伊江島,mz023zs1192,47,https://mapwarper.h-gis.jp/maps/421,http://purl.stanford.edu/mz023zs1192
422.tif,辺土名,nr369fm8489,47,https://mapwarper.h-gis.jp/maps/422,http://purl.stanford.edu/nr369fm8489
423.tif,安波,vd420js0307,47,https://mapwarper.h-gis.jp/maps/423,http://purl.stanford.edu/vd420js0307
424.tif,伊平屋前島,jb358cy7315,47,https://mapwarper.h-gis.jp/maps/424,http://purl.stanford.edu/jb358cy7315
425.tif,奥,ry529fz2101,47,https://mapwarper.h-gis.jp/maps/425,http://purl.stanford.edu/ry529fz2101
426.tif,伊平屋後島,wh259wk1947,47,https://mapwarper.h-gis.jp/maps/426,http://purl.stanford.edu/wh259wk1947
427.tif,田名崎,ms114ff9645,47,https://mapwarper.h-gis.jp/maps/427,http://purl.stanford.edu/ms114ff9645
428.tif,沖永良部島,ps660fn8789,46,https://mapwarper.h-gis.jp/maps/428,http://purl.stanford.edu/ps660fn8789
429.tif,亀津,bj513rz6780,46,https://mapwarper.h-gis.jp/maps/429,http://purl.stanford.edu/bj513rz6780
430.tif,請島,dw736kj0912,46,https://mapwarper.h-gis.jp/maps/430,http://purl.stanford.edu/dw736kj0912
431.tif,古仁屋,hp111gs7027,46,https://mapwarper.h-gis.jp/maps/431,http://purl.stanford.edu/hp111gs7027
432.tif,西古見,jq796vt2845,46,https://mapwarper.h-gis.jp/maps/432,http://purl.stanford.edu/jq796vt2845
433.tif,小湊,pt232ny4527,46,https://mapwarper.h-gis.jp/maps/433,http://purl.stanford.edu/pt232ny4527
434.tif,喜界島,fc275bp1442,46,https://mapwarper.h-gis.jp/maps/434,http://purl.stanford.edu/fc275bp1442
435.tif,名瀬,jx151dp8705,46,https://mapwarper.h-gis.jp/maps/435,http://purl.stanford.edu/jx151dp8705
436.tif,笠利崎,vr639qk0236,46,https://mapwarper.h-gis.jp/maps/436,http://purl.stanford.edu/vr639qk0236
437.tif,宝島,mc047qv8214,46,https://mapwarper.h-gis.jp/maps/437,http://purl.stanford.edu/mc047qv8214
438.tif,宝島,rp622km2040,46,https://mapwarper.h-gis.jp/maps/438,http://purl.stanford.edu/rp622km2040
439.tif,諏訪之瀬島,hx450wp2516,46,https://mapwarper.h-gis.jp/maps/439,http://purl.stanford.edu/hx450wp2516
440.tif,諏訪之瀬島,tg272qf7632,46,https://mapwarper.h-gis.jp/maps/440,http://purl.stanford.edu/tg272qf7632
441.tif,屋久島東北部,ft528vv5105,46,https://mapwarper.h-gis.jp/maps/441,http://purl.stanford.edu/ft528vv5105
442.tif,種子島中部,kq205sv4014,46,https://mapwarper.h-gis.jp/maps/442,http://purl.stanford.edu/kq205sv4014
443.tif,古田,vt525bq0826,46,https://mapwarper.h-gis.jp/maps/443,http://purl.stanford.edu/vt525bq0826
444.tif,種子島北部,hq532pz2291,46,https://mapwarper.h-gis.jp/maps/444,http://purl.stanford.edu/hq532pz2291
445.tif,国上,cz212fz0454,46,https://mapwarper.h-gis.jp/maps/445,http://purl.stanford.edu/cz212fz0454
446.tif,佐多岬,zy137xp9883,46,https://mapwarper.h-gis.jp/maps/446,http://purl.stanford.edu/zy137xp9883
447.tif,辺塚,pc939sb4521,46,https://mapwarper.h-gis.jp/maps/447,http://purl.stanford.edu/pc939sb4521
448.tif,坊,vy146qm4988,46,https://mapwarper.h-gis.jp/maps/448,http://purl.stanford.edu/vy146qm4988
449.tif,枕崎,yf232wp9182,46,https://mapwarper.h-gis.jp/maps/449,http://purl.stanford.edu/yf232wp9182
450.tif,開聞岳,fc613fr0605,46,https://mapwarper.h-gis.jp/maps/450,http://purl.stanford.edu/fc613fr0605
451.tif,大根占,yk015sg2155,46,https://mapwarper.h-gis.jp/maps/451,http://purl.stanford.edu/yk015sg2155
452.tif,内之浦,rr692vw9381,46,https://mapwarper.h-gis.jp/maps/452,http://purl.stanford.edu/rr692vw9381
453.tif,野間岳,vg035sz9311,46,https://mapwarper.h-gis.jp/maps/453,http://purl.stanford.edu/vg035sz9311
454.tif,加世田,cb449nn6254,46,https://mapwarper.h-gis.jp/maps/454,http://purl.stanford.edu/cb449nn6254
455.tif,垂水,vs313hw6981,46,https://mapwarper.h-gis.jp/maps/455,http://purl.stanford.edu/vs313hw6981
456.tif,鹿屋,gd795yk1227,46,https://mapwarper.h-gis.jp/maps/456,http://purl.stanford.edu/gd795yk1227
457.tif,志布志,gv306vh3285,46,https://mapwarper.h-gis.jp/maps/457,http://purl.stanford.edu/gv306vh3285
458.tif,都井岬,xt994dv1395,45,https://mapwarper.h-gis.jp/maps/458,http://purl.stanford.edu/xt994dv1395
459.tif,手打,qj546sn2401,46,https://mapwarper.h-gis.jp/maps/459,http://purl.stanford.edu/qj546sn2401
460.tif,伊集院,vt648fk3015,46,https://mapwarper.h-gis.jp/maps/460,http://purl.stanford.edu/vt648fk3015
461.tif,鹿児島,xb080fh8320,46,https://mapwarper.h-gis.jp/maps/461,http://purl.stanford.edu/xb080fh8320
462.tif,岩川,bd076tc0298,46,https://mapwarper.h-gis.jp/maps/462,http://purl.stanford.edu/bd076tc0298
463.tif,末吉,ws561yn9597,46,https://mapwarper.h-gis.jp/maps/463,http://purl.stanford.edu/ws561yn9597
464.tif,飫肥,kb538gn9888,45,https://mapwarper.h-gis.jp/maps/464,http://purl.stanford.edu/kb538gn9888
465.tif,手打,vb937nz2270,46,https://mapwarper.h-gis.jp/maps/465,http://purl.stanford.edu/vb937nz2270
466.tif,中甑,py659kw8652,46,https://mapwarper.h-gis.jp/maps/466,http://purl.stanford.edu/py659kw8652
467.tif,羽島,cs737tb1378,46,https://mapwarper.h-gis.jp/maps/467,http://purl.stanford.edu/cs737tb1378
468.tif,川内,bs445zj3498,46,https://mapwarper.h-gis.jp/maps/468,http://purl.stanford.edu/bs445zj3498
469.tif,加治木,nh479mb0291,46,https://mapwarper.h-gis.jp/maps/469,http://purl.stanford.edu/nh479mb0291
470.tif,国分,hj587qb2191,46,https://mapwarper.h-gis.jp/maps/470,http://purl.stanford.edu/hj587qb2191
471.tif,都城,vs914db5108,45,https://mapwarper.h-gis.jp/maps/471,http://purl.stanford.edu/vs914db5108
472.tif,日向青島,pr727gk1392,45,https://mapwarper.h-gis.jp/maps/472,http://purl.stanford.edu/pr727gk1392
473.tif,男女群島南部,xr546xx2851,42,https://mapwarper.h-gis.jp/maps/473,http://purl.stanford.edu/xr546xx2851
474.tif,中甑,vm817td8667,46,https://mapwarper.h-gis.jp/maps/474,http://purl.stanford.edu/vm817td8667
475.tif,西方,xw039np9324,43,https://mapwarper.h-gis.jp/maps/475,http://purl.stanford.edu/xw039np9324
476.tif,宮之城,vb946jq6084,46,https://mapwarper.h-gis.jp/maps/476,http://purl.stanford.edu/vb946jq6084
477.tif,栗野,qp456gj4008,46,https://mapwarper.h-gis.jp/maps/477,http://purl.stanford.edu/qp456gj4008
478.tif,霧島山,gw986xh2826,46,https://mapwarper.h-gis.jp/maps/478,http://purl.stanford.edu/gw986xh2826
479.tif,野尻,tp100bz6619,45,https://mapwarper.h-gis.jp/maps/479,http://purl.stanford.edu/tp100bz6619
480.tif,宮崎,sw175tz5944,45,https://mapwarper.h-gis.jp/maps/480,http://purl.stanford.edu/sw175tz5944
481.tif,男島及女島,qc523gd5233,42,https://mapwarper.h-gis.jp/maps/481,http://purl.stanford.edu/qc523gd5233
482.tif,片島,wh188dk8506,43,https://mapwarper.h-gis.jp/maps/482,http://purl.stanford.edu/wh188dk8506
483.tif,阿久根,kq741wk9448,43,https://mapwarper.h-gis.jp/maps/483,http://purl.stanford.edu/kq741wk9448
484.tif,出水,kj336nh8750,46,https://mapwarper.h-gis.jp/maps/484,http://purl.stanford.edu/kj336nh8750
485.tif,大口,vk623dr7656,43,https://mapwarper.h-gis.jp/maps/485,http://purl.stanford.edu/vk623dr7656
486.tif,加久藤,gy028fk1191,43,https://mapwarper.h-gis.jp/maps/486,http://purl.stanford.edu/gy028fk1191
487.tif,須木,ws325wr0199,43,https://mapwarper.h-gis.jp/maps/487,http://purl.stanford.edu/ws325wr0199
488.tif,妻,dr054zr5417,45,https://mapwarper.h-gis.jp/maps/488,http://purl.stanford.edu/dr054zr5417
489.tif,高鍋,rx315fn4857,45,https://mapwarper.h-gis.jp/maps/489,http://purl.stanford.edu/rx315fn4857
490.tif,肥前鳥島,rh352vn8573,42,https://mapwarper.h-gis.jp/maps/490,http://purl.stanford.edu/rh352vn8573
491.tif,魚貫崎,ng613ms8905,42,https://mapwarper.h-gis.jp/maps/491,http://purl.stanford.edu/ng613ms8905
492.tif,牛深,yw010hy3955,43,https://mapwarper.h-gis.jp/maps/492,http://purl.stanford.edu/yw010hy3955
493.tif,水俣,cx198hw6628,43,https://mapwarper.h-gis.jp/maps/493,http://purl.stanford.edu/cx198hw6628
494.tif,佐敷,kk135yg0170,43,https://mapwarper.h-gis.jp/maps/494,http://purl.stanford.edu/kk135yg0170
495.tif,人吉,kv451hv0065,43,https://mapwarper.h-gis.jp/maps/495,http://purl.stanford.edu/kv451hv0065
496.tif,村所,ws583yp5464,43,https://mapwarper.h-gis.jp/maps/496,http://purl.stanford.edu/ws583yp5464
497.tif,尾鈴山,kg897jv2642,45,https://mapwarper.h-gis.jp/maps/497,http://purl.stanford.edu/kg897jv2642
498.tif,都農,gh579yg7336,45,https://mapwarper.h-gis.jp/maps/498,http://purl.stanford.edu/gh579yg7336
499.tif,高浜,fh984kr1630,42,https://mapwarper.h-gis.jp/maps/499,http://purl.stanford.edu/fh984kr1630
500.tif,本渡,sn868ts7051,43,https://mapwarper.h-gis.jp/maps/500,http://purl.stanford.edu/sn868ts7051
501.tif,日奈久,jz729fx3710,43,https://mapwarper.h-gis.jp/maps/501,http://purl.stanford.edu/jz729fx3710
502.tif,頭地,zc982sr3493,43,https://mapwarper.h-gis.jp/maps/502,http://purl.stanford.edu/zc982sr3493
503.tif,椎葉村,bt957tm9201,43,https://mapwarper.h-gis.jp/maps/503,http://purl.stanford.edu/bt957tm9201
504.tif,神門,cn949pt2161,45,https://mapwarper.h-gis.jp/maps/504,http://purl.stanford.edu/cn949pt2161
505.tif,日向,wb891nx4009,45,https://mapwarper.h-gis.jp/maps/505,http://purl.stanford.edu/wb891nx4009
506.tif,青ヶ島,fs538jv6645,13,https://mapwarper.h-gis.jp/maps/506,http://purl.stanford.edu/fs538jv6645
507.tif,富江,tn717qh1998,42,https://mapwarper.h-gis.jp/maps/507,http://purl.stanford.edu/tn717qh1998
508.tif,野母崎,vv800vq6977,42,https://mapwarper.h-gis.jp/maps/508,http://purl.stanford.edu/vv800vq6977
509.tif,野母崎,sh039dd3025,42,https://mapwarper.h-gis.jp/maps/509,http://purl.stanford.edu/sh039dd3025
510.tif,口之津,zp882nc2572,42,https://mapwarper.h-gis.jp/maps/510,http://purl.stanford.edu/zp882nc2572
511.tif,三角,mf580yz8854,42,https://mapwarper.h-gis.jp/maps/511,http://purl.stanford.edu/mf580yz8854
512.tif,八代,qn696wj8411,43,https://mapwarper.h-gis.jp/maps/512,http://purl.stanford.edu/qn696wj8411
513.tif,鞍岡,gr432xg0526,43,https://mapwarper.h-gis.jp/maps/513,http://purl.stanford.edu/gr432xg0526
514.tif,諸塚山,ky748fh3940,45,https://mapwarper.h-gis.jp/maps/514,http://purl.stanford.edu/ky748fh3940
515.tif,延岡,sx494pq8019,45,https://mapwarper.h-gis.jp/maps/515,http://purl.stanford.edu/sx494pq8019
516.tif,福江,nr039bd9918,42,https://mapwarper.h-gis.jp/maps/516,http://purl.stanford.edu/nr039bd9918
517.tif,長崎,bx547qd9913,42,https://mapwarper.h-gis.jp/maps/517,http://purl.stanford.edu/bx547qd9913
518.tif,長崎,xg215xf0137,42,https://mapwarper.h-gis.jp/maps/518,http://purl.stanford.edu/xg215xf0137
519.tif,肥前小浜,pb266xq1374,42,https://mapwarper.h-gis.jp/maps/519,http://purl.stanford.edu/pb266xq1374
520.tif,島原,cc394qj9218,42,https://mapwarper.h-gis.jp/maps/520,http://purl.stanford.edu/cc394qj9218
521.tif,熊本,zq417gz0982,43,https://mapwarper.h-gis.jp/maps/521,http://purl.stanford.edu/zq417gz0982
522.tif,御船,qw807kd6455,43,https://mapwarper.h-gis.jp/maps/522,http://purl.stanford.edu/qw807kd6455
523.tif,高森,fr032dq2588,43,https://mapwarper.h-gis.jp/maps/523,http://purl.stanford.edu/fr032dq2588
524.tif,三田井,zg017np1499,43,https://mapwarper.h-gis.jp/maps/524,http://purl.stanford.edu/zg017np1499
525.tif,熊田,wx097qz9675,44,https://mapwarper.h-gis.jp/maps/525,http://purl.stanford.edu/wx097qz9675
526.tif,柏島,dv276bc1584,38,https://mapwarper.h-gis.jp/maps/526,http://purl.stanford.edu/dv276bc1584
527.tif,土佐清水,xv324bq8642,39,https://mapwarper.h-gis.jp/maps/527,http://purl.stanford.edu/xv324bq8642
528.tif,土佐清水,kk508sd7300,39,https://mapwarper.h-gis.jp/maps/528,http://purl.stanford.edu/kk508sd7300
529.tif,漁生浦,qt627mq9670,42,https://mapwarper.h-gis.jp/maps/529,http://purl.stanford.edu/qt627mq9670
530.tif,有川,vq005cz5381,42,https://mapwarper.h-gis.jp/maps/530,http://purl.stanford.edu/vq005cz5381
531.tif,神浦,fv996dd2130,42,https://mapwarper.h-gis.jp/maps/531,http://purl.stanford.edu/fv996dd2130
532.tif,大村,kk882hr1890,42,https://mapwarper.h-gis.jp/maps/532,http://purl.stanford.edu/kk882hr1890
533.tif,諫早,fw884rn0462,42,https://mapwarper.h-gis.jp/maps/533,http://purl.stanford.edu/fw884rn0462
534.tif,荒尾,qj166dy5299,41,https://mapwarper.h-gis.jp/maps/534,http://purl.stanford.edu/qj166dy5299
535.tif,玉名,md502yd7566,40,https://mapwarper.h-gis.jp/maps/535,http://purl.stanford.edu/md502yd7566
536.tif,菊池,sg925xn5866,43,https://mapwarper.h-gis.jp/maps/536,http://purl.stanford.edu/sg925xn5866
537.tif,阿蘇山,kb486tc6639,43,https://mapwarper.h-gis.jp/maps/537,http://purl.stanford.edu/kb486tc6639
